ScenarioId,RunId,Step,Z1Before,Z2Before,Z3Before,Z4Before,Z1Target,Z2Target,Z3Target,Z4Target,ActionLabel,Z1After,Z2After,Z3After,Z4After,WasMasked,CrossZoneInterference,Z1Temp,Z2Temp,Z3Temp,Z4Temp,SunshineRank,ActuatorState,StuckFired
3,1,9,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=false,2,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
3,1,10,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=false,2,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
3,1,11,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=false,2,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
3,1,12,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=false,2,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
3,1,13,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=false,2,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
3,1,14,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=false,2,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
3,1,15,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=false,2,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
3,1,16,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=false,2,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
3,1,17,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=false,2,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
3,1,18,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=false,2,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
3,1,19,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=false,2,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
5,1,0,0,0,,,3,3,,,http://example.org/was#SetZ2Light=true,2,3,,,0,0,,,,,1,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
5,1,1,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=true,2,3,,,0,0,,,,,1,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=true;Spotlight=false,0
5,1,2,2,3,,,3,3,,,http://example.org/was#SetZ1Light=true,3,3,,,0,0,,,,,1,Z1Blinds=false;Z2Light=true;Z1Light=true;Z2Blinds=true;Spotlight=false,0
7,1,0,3,2,,,3,3,,,http://example.org/was#SetZ2Light=true,3,3,,,0,0,,,,,1,Z1Blinds=false;Z2Light=true;Z1Light=true;Z2Blinds=false;Spotlight=false,0
8,1,0,2,2,,,3,3,,,http://example.org/was#SetZ2Blinds=true,2,2,,,0,0,,,,,1,Z1Blinds=false;Z2Light=false;Z1Light=false;Z2Blinds=true;Spotlight=true,0
8,1,1,2,2,,,3,3,,,http://example.org/was#SetZ1Light=false,2,2,,,0,0,,,,,1,Z1Blinds=false;Z2Light=false;Z1Light=false;Z2Blinds=true;Spotlight=true,0
8,1,2,2,2,,,3,3,,,http://example.org/was#SetZ2Light=false,2,2,,,0,0,,,,,1,Z1Blinds=false;Z2Light=false;Z1Light=false;Z2Blinds=true;Spotlight=true,0
8,1,3,2,2,,,3,3,,,http://example.org/was#SetZ1Light=true,3,3,,,0,0,,,,,1,Z1Blinds=false;Z2Light=false;Z1Light=true;Z2Blinds=true;Spotlight=true,0
9,1,0,0,0,,,3,3,,,http://example.org/was#SetZ1Light=true,3,2,,,0,0,,,,,2,Z1Blinds=false;Z2Light=false;Z1Light=true;Z2Blinds=false;Spotlight=false,0
9,1,1,3,2,,,3,3,,,http://example.org/was#SetZ2Light=true,3,3,,,0,0,,,,,2,Z1Blinds=false;Z2Light=true;Z1Light=true;Z2Blinds=false;Spotlight=false,0
11,1,0,2,3,,,3,3,,,http://example.org/was#SetZ1Blinds=true,3,3,,,0,0,,,,,2,Z1Blinds=true;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
13,1,0,0,0,,,3,3,,,http://example.org/was#SetZ1Light=true,3,2,,,0,0,,,,,3,Z1Blinds=false;Z2Light=false;Z1Light=true;Z2Blinds=false;Spotlight=false,0
13,1,1,3,2,,,3,3,,,http://example.org/was#SetZ2Light=true,3,3,,,0,0,,,,,3,Z1Blinds=false;Z2Light=true;Z1Light=true;Z2Blinds=false;Spotlight=false,0
15,1,0,2,3,,,3,3,,,http://example.org/was#SetZ1Blinds=true,3,3,,,0,0,,,,,3,Z1Blinds=true;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
1,2,0,0,0,,,3,3,,,http://example.org/was#SetSpotlight=true,2,2,,,0,0,,,,,0,Z1Blinds=false;Z2Light=false;Z1Light=false;Z2Blinds=false;Spotlight=true,0
1,2,1,2,2,,,3,3,,,http://example.org/was#SetZ2Light=true,2,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=true,0
1,2,2,2,3,,,3,3,,,http://example.org/was#SetZ1Light=true,3,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=true;Z2Blinds=false;Spotlight=true,0
3,2,0,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=false,2,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
3,2,1,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=false,2,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
3,2,2,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=false,2,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
3,2,3,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=false,2,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
3,2,4,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=false,2,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
3,2,5,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=false,2,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
3,2,6,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=false,2,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
3,2,7,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=false,2,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
3,2,8,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=false,2,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
3,2,9,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=false,2,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
3,2,10,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=false,2,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
3,2,11,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=false,2,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
3,2,12,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=false,2,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
3,2,13,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=false,2,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
3,2,14,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=false,2,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
3,2,15,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=false,2,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
3,2,16,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=false,2,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
3,2,17,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=false,2,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
3,2,18,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=false,2,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
3,2,19,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=false,2,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
5,2,0,0,0,,,3,3,,,http://example.org/was#SetZ2Light=true,2,3,,,0,0,,,,,1,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
5,2,1,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=true,2,3,,,0,0,,,,,1,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=true;Spotlight=false,0
5,2,2,2,3,,,3,3,,,http://example.org/was#SetZ1Light=true,3,3,,,0,0,,,,,1,Z1Blinds=false;Z2Light=true;Z1Light=true;Z2Blinds=true;Spotlight=false,0
7,2,0,3,2,,,3,3,,,http://example.org/was#SetZ2Light=true,3,3,,,0,0,,,,,1,Z1Blinds=false;Z2Light=true;Z1Light=true;Z2Blinds=false;Spotlight=false,0
8,2,0,2,2,,,3,3,,,http://example.org/was#SetZ2Light=false,2,2,,,0,0,,,,,1,Z1Blinds=false;Z2Light=false;Z1Light=false;Z2Blinds=false;Spotlight=true,0
8,2,1,2,2,,,3,3,,,http://example.org/was#SetSpotlight=true,2,2,,,0,0,,,,,1,Z1Blinds=false;Z2Light=false;Z1Light=false;Z2Blinds=false;Spotlight=true,0
8,2,2,2,2,,,3,3,,,http://example.org/was#SetZ1Blinds=false,2,2,,,0,0,,,,,1,Z1Blinds=false;Z2Light=false;Z1Light=false;Z2Blinds=false;Spotlight=true,0
8,2,3,2,2,,,3,3,,,DO_NOTHING,2,2,,,0,0,,,,,1,Z1Blinds=false;Z2Light=false;Z1Light=false;Z2Blinds=false;Spotlight=true,0
8,2,4,2,2,,,3,3,,,http://example.org/was#SetZ2Blinds=false,2,2,,,0,0,,,,,1,Z1Blinds=false;Z2Light=false;Z1Light=false;Z2Blinds=false;Spotlight=true,0
8,2,5,2,2,,,3,3,,,http://example.org/was#SetSpotlight=false,0,0,,,0,1,,,,,1,Z1Blinds=false;Z2Light=false;Z1Light=false;Z2Blinds=false;Spotlight=false,0
8,2,6,0,0,,,3,3,,,http://example.org/was#SetZ2Light=true,2,3,,,0,0,,,,,1,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
8,2,7,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=true,2,3,,,0,0,,,,,1,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=true;Spotlight=false,0
8,2,8,2,3,,,3,3,,,http://example.org/was#SetZ1Light=true,3,3,,,0,0,,,,,1,Z1Blinds=false;Z2Light=true;Z1Light=true;Z2Blinds=true;Spotlight=false,0
9,2,0,0,0,,,3,3,,,http://example.org/was#SetZ1Light=true,3,2,,,0,0,,,,,2,Z1Blinds=false;Z2Light=false;Z1Light=true;Z2Blinds=false;Spotlight=false,0
9,2,1,3,2,,,3,3,,,http://example.org/was#SetZ2Light=true,3,3,,,0,0,,,,,2,Z1Blinds=false;Z2Light=true;Z1Light=true;Z2Blinds=false;Spotlight=false,0
11,2,0,2,3,,,3,3,,,http://example.org/was#SetZ1Blinds=true,3,3,,,0,0,,,,,2,Z1Blinds=true;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
13,2,0,0,0,,,3,3,,,http://example.org/was#SetZ1Light=true,3,2,,,0,0,,,,,3,Z1Blinds=false;Z2Light=false;Z1Light=true;Z2Blinds=false;Spotlight=false,0
13,2,1,3,2,,,3,3,,,http://example.org/was#SetZ2Light=true,3,3,,,0,0,,,,,3,Z1Blinds=false;Z2Light=true;Z1Light=true;Z2Blinds=false;Spotlight=false,0
15,2,0,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=true,3,3,,,0,0,,,,,3,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=true;Spotlight=false,0
1,3,0,0,0,,,3,3,,,http://example.org/was#SetSpotlight=true,2,2,,,0,0,,,,,0,Z1Blinds=false;Z2Light=false;Z1Light=false;Z2Blinds=false;Spotlight=true,0
1,3,1,2,2,,,3,3,,,http://example.org/was#SetZ2Light=true,2,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=true,0
1,3,2,2,3,,,3,3,,,http://example.org/was#SetZ1Light=true,3,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=true;Z2Blinds=false;Spotlight=true,0
3,3,0,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=false,2,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
3,3,1,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=false,2,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
3,3,2,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=false,2,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
3,3,3,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=false,2,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
3,3,4,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=false,2,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
3,3,5,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=false,2,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
3,3,6,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=false,2,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
3,3,7,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=false,2,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
3,3,8,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=false,2,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
3,3,9,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=false,2,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
3,3,10,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=false,2,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
3,3,11,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=false,2,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
3,3,12,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=false,2,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
3,3,13,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=false,2,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
3,3,14,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=false,2,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
3,3,15,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=false,2,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
3,3,16,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=false,2,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
3,3,17,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=false,2,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
3,3,18,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=false,2,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
3,3,19,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=false,2,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
5,3,0,0,0,,,3,3,,,http://example.org/was#SetZ2Light=true,2,3,,,0,0,,,,,1,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
5,3,1,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=true,2,3,,,0,0,,,,,1,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=true;Spotlight=false,0
5,3,2,2,3,,,3,3,,,http://example.org/was#SetZ1Light=true,3,3,,,0,0,,,,,1,Z1Blinds=false;Z2Light=true;Z1Light=true;Z2Blinds=true;Spotlight=false,0
7,3,0,3,2,,,3,3,,,http://example.org/was#SetZ2Light=true,3,3,,,0,0,,,,,1,Z1Blinds=false;Z2Light=true;Z1Light=true;Z2Blinds=false;Spotlight=false,0
8,3,0,2,2,,,3,3,,,http://example.org/was#SetZ1Blinds=false,2,2,,,0,0,,,,,1,Z1Blinds=false;Z2Light=false;Z1Light=false;Z2Blinds=false;Spotlight=true,0
8,3,1,2,2,,,3,3,,,http://example.org/was#SetSpotlight=false,0,0,,,0,1,,,,,1,Z1Blinds=false;Z2Light=false;Z1Light=false;Z2Blinds=false;Spotlight=false,0
8,3,2,0,0,,,3,3,,,http://example.org/was#SetZ2Light=true,2,3,,,0,0,,,,,1,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
8,3,3,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=true,2,3,,,0,0,,,,,1,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=true;Spotlight=false,0
8,3,4,2,3,,,3,3,,,http://example.org/was#SetZ1Light=true,3,3,,,0,0,,,,,1,Z1Blinds=false;Z2Light=true;Z1Light=true;Z2Blinds=true;Spotlight=false,0
9,3,0,0,0,,,3,3,,,http://example.org/was#SetZ1Light=true,3,2,,,0,0,,,,,2,Z1Blinds=false;Z2Light=false;Z1Light=true;Z2Blinds=false;Spotlight=false,0
9,3,1,3,2,,,3,3,,,http://example.org/was#SetZ2Light=true,3,3,,,0,0,,,,,2,Z1Blinds=false;Z2Light=true;Z1Light=true;Z2Blinds=false;Spotlight=false,0
11,3,0,2,3,,,3,3,,,http://example.org/was#SetZ1Blinds=true,3,3,,,0,0,,,,,2,Z1Blinds=true;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
13,3,0,0,0,,,3,3,,,http://example.org/was#SetZ1Light=true,3,2,,,0,0,,,,,3,Z1Blinds=false;Z2Light=false;Z1Light=true;Z2Blinds=false;Spotlight=false,0
13,3,1,3,2,,,3,3,,,http://example.org/was#SetZ2Light=true,3,3,,,0,0,,,,,3,Z1Blinds=false;Z2Light=true;Z1Light=true;Z2Blinds=false;Spotlight=false,0
15,3,0,2,3,,,3,3,,,http://example.org/was#SetZ1Blinds=false,2,3,,,0,0,,,,,3,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
15,3,1,2,3,,,3,3,,,http://example.org/was#SetSpotlight=false,2,3,,,0,0,,,,,3,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
15,3,2,2,3,,,3,3,,,http://example.org/was#SetZ1Light=false,2,3,,,0,0,,,,,3,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
15,3,3,2,3,,,3,3,,,http://example.org/was#SetZ2Light=true,2,3,,,0,0,,,,,3,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
15,3,4,2,3,,,3,3,,,http://example.org/was#SetSpotlight=false,2,3,,,0,0,,,,,3,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
15,3,5,2,3,,,3,3,,,http://example.org/was#SetZ2Light=true,2,3,,,0,0,,,,,3,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
15,3,6,2,3,,,3,3,,,DO_NOTHING,2,3,,,0,0,,,,,3,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
15,3,7,2,3,,,3,3,,,http://example.org/was#SetZ1Light=false,2,3,,,0,0,,,,,3,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
15,3,8,2,3,,,3,3,,,http://example.org/was#SetZ1Blinds=true,3,3,,,0,0,,,,,3,Z1Blinds=true;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
1,4,0,0,0,,,3,3,,,http://example.org/was#SetSpotlight=true,2,2,,,0,0,,,,,0,Z1Blinds=false;Z2Light=false;Z1Light=false;Z2Blinds=false;Spotlight=true,0
1,4,1,2,2,,,3,3,,,http://example.org/was#SetZ2Light=true,2,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=true,0
1,4,2,2,3,,,3,3,,,http://example.org/was#SetZ1Light=true,3,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=true;Z2Blinds=false;Spotlight=true,0
3,4,0,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=false,2,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
3,4,1,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=false,2,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
3,4,2,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=false,2,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
3,4,3,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=false,2,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
3,4,4,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=false,2,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
3,4,5,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=false,2,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
3,4,6,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=false,2,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
3,4,7,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=false,2,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
3,4,8,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=false,2,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
3,4,9,2,3,,,3,3,,,http://example.org/was#SetZ2Blinds=false,2,3,,,0,0,,,,,0,Z1Blinds=false;Z2Light=true;Z1Light=false;Z2Blinds=false;Spotlight=false,0
